Colombia,Claro,57,732,666,0.0012,New Breakout
Colombia,Claro,57,732,101,0.0012,New Breakout
Colombia,Avatel,57,732,130,0.0012,New Breakout
Colombia,All Networks,57,732,,0.0012,New Breakout
Costa Rica,Movistar,506,712,04,0.0105,New Breakout
Costa Rica,I.C.E.,506,712,02,0.0105,New Breakout
Costa Rica,I.C.E.,506,712,01,0.0105,New Breakout
Costa Rica,Claro,506,712,03,0.0105,New Breakout
Costa Rica,All Networks,506,712,,0.0105,New Breakout
Cuba,C_Com,53,368,01,0.027,New Breakout
Cuba,All Networks,53,368,,0.027,New Breakout
Cyprus,All Networks,357,280,,0.0128,
Cyprus,Cytamobile-Vodafone,357,280,01,0.0128,
Cyprus,Cablenet Comm. Systems,357,280,22,0.0128,
Cyprus,Epic,357,280,10,0.0128,
Cyprus,Primetel,357,280,20,0.0128,
Czech Republic,All Networks,420,230,,0.0744,
Czech Republic,Nordic Telecom,420,230,04,0.0744,
Czech Republic,O2 Czech Republic,420,230,02,0.0517,
Czech Republic,T-Mobile Czech Republic,420,230,01,0.047,
Czech Republic,Vodafone Czech Republic,420,230,03,0.0449,
Denmark,All networks,45,238,,0.0497,
Denmark,3 Denmark,45,238,06,0.0466,
Denmark,Lycamobile Denmark,45,238,12,0.0466,
Denmark,Nuuday,45,238,01,0.0435,
Denmark,Nuuday,45,238,10,0.0435,
Denmark,Telenor Denmark,45,238,02,0.0462,
Denmark,Telenor Denmark,45,238,77,0.0462,
Denmark,Telia Denmark,45,238,20,0.0406,
Denmark,Greenwave Mobile IoT ApS,45,238,42,0.0497,
Dominican Republic,Viva,"1809, 1829, 1849",370,04,0.0128,New Breakout
Dominican Republic,Claro,"1809, 1829, 1849",370,03,0.0128,New Breakout
Dominican Republic,Altice,"1809, 1829, 1849",370,02,0.091,New Breakout
Dominican Republic,Altice,"1809, 1829, 1849",370,01,0.091,New Breakout
Dominican Republic,All Networks,"1809, 1829, 1849",370,,0.091,New Breakout
Ecuador,Movistar Ecuador,593,740,00,0.012,New Breakout
Ecuador,CNT Mobile,593,740,02,0.0406,New Breakout
Ecuador,Claro,593,740,01,0.0602,New Breakout
Ecuador,All Networks,593,740,,0.0602,New Breakout
El Salvador,Tigo Colombia,503,706,03,0.0255,New Breakout
El Salvador,Movistar,503,706,04,0.0255,New Breakout
El Salvador,Intelfon,503,706,05,0.0282,New Breakout
El Salvador,Digicel El Salvador,503,706,02,0.0322,New Breakout
El Salvador,CTE Telecom Personal,503,706,01,0.0225,New Breakout
El Salvador,All Networks,503,706,,0.0322,New Breakout
Estonia,All networks,372,248,,0.037,
Estonia,Elisa,372,248,04,0.0354,
Estonia,Elisa,372,248,02,0.0323,
Estonia,Tele2,372,248,03,0.0343,
Estonia,Telia,372,248,01,0.0347,
Finland,Alands Mobiltelefon,358,244,14,0.0686,
Finland,All networks,358,244,,0.0686,
Finland,DNA,358,244,03,0.0684,
Finland,DNA,358,244,04,0.0684,
Finland,DNA,358,244,12,0.0684,
Finland,DNA,358,244,13,0.0684,
Finland,Elisa,358,244,05,0.0684,
Finland,Elisa,358,244,06,0.0684,
Finland,Telia,358,244,91,0.0684,
Finland,Telia,358,244,36,0.0684,
